ProductID,ProductName,Category,StockLevel,ReorderPoint,WarehouseRegion
PROD-101,Laptop Pro 15,Electronics,119,130,NORTH
PROD-102,Wireless Keyboard,Electronics,100,110,NORTH
PROD-103,Office Chair Deluxe,Furniture,14,57,NORTH
PROD-104,Standing Desk,Furniture,97,108,NORTH
PROD-105,"Monitor 27"" 4K",Electronics,19,90,NORTH
PROD-106,USB-C Hub 7-Port,Electronics,5,50,NORTH
PROD-107,Noise-Cancel Headset,Electronics,92,95,NORTH
PROD-108,Ergonomic Mouse,Electronics,75,105,NORTH
PROD-109,Bookshelf 5-Tier,Furniture,79,104,SOUTH
PROD-110,Desk Lamp LED,Office Supplies,25,50,SOUTH
PROD-111,Polo Shirt (M),Apparel,138,139,EAST
PROD-112,Fleece Jacket,Apparel,59,61,EAST
PROD-113,Thermal Flask 1L,Office Supplies,63,99,EAST
PROD-114,Notebook A5 Pack,Office Supplies,56,138,EAST
PROD-115,Webcam HD 1080p,Electronics,35,73,EAST
PROD-116,Printer Ink Set,Office Supplies,241,74,WEST
PROD-117,Mechanical Keyboard,Electronics,34,79,WEST
PROD-118,Cable Organiser Kit,Office Supplies,115,130,CENTRAL
PROD-119,Conference Phone,Electronics,186,97,CENTRAL
PROD-120,Whiteboard 120×90,Office Supplies,209,117,CENTRAL
