TransactionID,SaleDate,Region,ProductID,Quantity,Revenue,CustomerID
TXN-000231,2023-10-01,NORTH,PROD-105,4,2792.84,CUST-2987
TXN-000244,2023-10-01,NORTH,PROD-115,3,465.95,CUST-1324
TXN-000265,2023-10-01,NORTH,PROD-120,5,724.15,CUST-2250
TXN-000290,2023-10-01,NORTH,PROD-102,4,513.3,CUST-1874
TXN-000310,2023-10-01,NORTH,PROD-120,3,407.58,CUST-1560
TXN-000322,2023-10-01,NORTH,PROD-107,3,980.13,CUST-2572
TXN-001847,2023-10-01,SOUTH,PROD-113,1,27.07,CUST-2344
TXN-001852,2023-10-01,SOUTH,PROD-107,1,282.54,CUST-2329
TXN-001857,2023-10-01,SOUTH,PROD-115,5,711.35,CUST-1604
TXN-001863,2023-10-01,SOUTH,PROD-114,5,72.19,CUST-1131
TXN-001875,2023-10-01,SOUTH,PROD-112,3,291.39,CUST-1325
TXN-001943,2023-10-01,SOUTH,PROD-119,3,1062.79,CUST-1254
TXN-001952,2023-10-01,SOUTH,PROD-117,3,585.81,CUST-1187
TXN-001978,2023-10-01,SOUTH,PROD-105,1,664.13,CUST-1009
TXN-002002,2023-10-01,SOUTH,PROD-108,4,305.59,CUST-2879
TXN-002005,2023-10-01,SOUTH,PROD-119,3,1121.47,CUST-1507
TXN-002016,2023-10-01,SOUTH,PROD-115,4,595.67,CUST-1877
TXN-002084,2023-10-01,SOUTH,PROD-119,1,379.54,CUST-1315
TXN-002212,2023-10-01,SOUTH,PROD-111,1,51.33,CUST-2789
TXN-002222,2023-10-01,SOUTH,PROD-106,3,259.29,CUST-2570
TXN-004013,2023-10-01,EAST,PROD-101,1,2750.17,CUST-1338
TXN-004074,2023-10-01,EAST,PROD-119,1,338.41,CUST-1850
TXN-004108,2023-10-01,EAST,PROD-120,1,150.21,CUST-2157
TXN-004142,2023-10-01,EAST,PROD-101,5,14802.7,CUST-1801
TXN-004156,2023-10-01,EAST,PROD-118,1,20.97,CUST-2008
TXN-004159,2023-10-01,EAST,PROD-113,5,155.19,CUST-1539
TXN-004164,2023-10-01,EAST,PROD-107,2,621.34,CUST-1161
TXN-004216,2023-10-01,EAST,PROD-113,2,62.17,CUST-2623
TXN-004218,2023-10-01,EAST,PROD-112,4,390.44,CUST-2269
TXN-004237,2023-10-01,EAST,PROD-107,3,923.03,CUST-1246
TXN-004327,2023-10-01,EAST,PROD-103,3,1409.62,CUST-1568
TXN-005544,2023-10-01,WEST,PROD-106,2,155.42,CUST-1084
TXN-005593,2023-10-01,WEST,PROD-117,3,587.72,CUST-1257
TXN-005603,2023-10-01,WEST,PROD-101,5,15606.44,CUST-1856
TXN-005632,2023-10-01,WEST,PROD-103,4,2047.85,CUST-2157
TXN-005644,2023-10-01,WEST,PROD-120,3,425.41,CUST-2791
TXN-005671,2023-10-01,WEST,PROD-117,4,801.25,CUST-2039
TXN-005750,2023-10-01,WEST,PROD-113,4,117.52,CUST-2980
TXN-005779,2023-10-01,WEST,PROD-103,4,2063.51,CUST-1504
TXN-005808,2023-10-01,WEST,PROD-119,2,754.89,CUST-2641
TXN-005809,2023-10-01,WEST,PROD-110,3,161.75,CUST-1241
TXN-005853,2023-10-01,WEST,PROD-120,3,435.48,CUST-2411
TXN-005871,2023-10-01,WEST,PROD-110,4,214.5,CUST-1316
TXN-005889,2023-10-01,WEST,PROD-112,4,363.9,CUST-1381
TXN-005912,2023-10-01,WEST,PROD-101,4,12692.6,CUST-1504
TXN-007227,2023-10-01,CENTRAL,PROD-113,1,32.0,CUST-2950
TXN-007255,2023-10-01,CENTRAL,PROD-116,1,49.7,CUST-1161
TXN-007300,2023-10-01,CENTRAL,PROD-110,2,95.84,CUST-2191
TXN-007313,2023-10-01,CENTRAL,PROD-101,1,3013.01,CUST-1258
TXN-007336,2023-10-01,CENTRAL,PROD-116,2,105.08,CUST-1510
TXN-007398,2023-10-01,CENTRAL,PROD-102,2,232.76,CUST-2710
TXN-007412,2023-10-01,CENTRAL,PROD-107,3,854.74,CUST-1451
TXN-007435,2023-10-01,CENTRAL,PROD-105,2,1377.78,CUST-1532
TXN-007456,2023-10-01,CENTRAL,PROD-119,3,1111.37,CUST-2653
TXN-007459,2023-10-01,CENTRAL,PROD-107,1,285.75,CUST-2654
TXN-007463,2023-10-01,CENTRAL,PROD-108,2,150.0,CUST-2920
TXN-007515,2023-10-01,CENTRAL,PROD-104,3,2787.78,CUST-2287
TXN-007583,2023-10-01,CENTRAL,PROD-116,2,99.13,CUST-2264
TXN-007603,2023-10-01,CENTRAL,PROD-109,3,516.04,CUST-1518
TXN-000013,2023-10-02,NORTH,PROD-108,3,230.35,CUST-2752
TXN-000099,2023-10-02,NORTH,PROD-104,5,4441.06,CUST-2493
TXN-000177,2023-10-02,NORTH,PROD-118,3,62.34,CUST-1259
TXN-000187,2023-10-02,NORTH,PROD-120,1,163.42,CUST-1426
TXN-000195,2023-10-02,NORTH,PROD-106,3,244.53,CUST-2689
TXN-000207,2023-10-02,NORTH,PROD-115,1,144.43,CUST-1663
TXN-000254,2023-10-02,NORTH,PROD-110,4,181.3,CUST-1748
TXN-000268,2023-10-02,NORTH,PROD-110,4,184.61,CUST-1481
TXN-000316,2023-10-02,NORTH,PROD-105,2,1366.13,CUST-1102
TXN-000321,2023-10-02,NORTH,PROD-108,4,307.09,CUST-1113
TXN-000327,2023-10-02,NORTH,PROD-114,1,14.87,CUST-1160
TXN-000344,2023-10-02,NORTH,PROD-112,3,274.58,CUST-2770
TXN-000351,2023-10-02,NORTH,PROD-108,4,307.45,CUST-2074
TXN-000375,2023-10-02,NORTH,PROD-116,3,166.77,CUST-1211
TXN-000380,2023-10-02,NORTH,PROD-113,5,146.17,CUST-1791
TXN-000405,2023-10-02,NORTH,PROD-111,3,138.71,CUST-1754
TXN-000418,2023-10-02,NORTH,PROD-120,2,310.72,CUST-2944
TXN-000437,2023-10-02,NORTH,PROD-104,5,4187.67,CUST-1338
TXN-000444,2023-10-02,NORTH,PROD-101,1,2727.27,CUST-2314
TXN-000464,2023-10-02,NORTH,PROD-119,5,1643.08,CUST-2134
TXN-001780,2023-10-02,SOUTH,PROD-113,5,147.82,CUST-1533
TXN-001800,2023-10-02,SOUTH,PROD-105,4,2793.23,CUST-2710
TXN-001881,2023-10-02,SOUTH,PROD-115,4,655.47,CUST-2548
TXN-001905,2023-10-02,SOUTH,PROD-118,3,58.65,CUST-2473
TXN-001972,2023-10-02,SOUTH,PROD-106,5,405.0,CUST-1616
TXN-002007,2023-10-02,SOUTH,PROD-111,5,264.65,CUST-2933
