FeedbackID,CustomerID,FeedbackDate,Rating,Comments,Region
FB-00155,CUST-1334,2023-10-01,2,Delivery was extremely slow and the product arrived damaged.,NORTH
FB-00187,CUST-1583,2023-10-01,5,Product quality exceeded my expectations. Will buy again.,NORTH
FB-00494,CUST-1718,2023-10-01,3,Product matches description but packaging could be improved.,SOUTH
FB-00550,CUST-2945,2023-10-01,5,Love the product quality. The team was very professional.,SOUTH
FB-00643,CUST-1800,2023-10-01,4,Love the product quality. The team was very professional.,SOUTH
FB-00977,CUST-2137,2023-10-01,3,Product works as expected. No major complaints.,EAST
FB-01088,CUST-1649,2023-10-01,5,Outstanding customer service resolved my query in minutes.,EAST
FB-01351,CUST-1990,2023-10-01,4,Product quality exceeded my expectations. Will buy again.,WEST
FB-01410,CUST-2798,2023-10-01,4,Product quality exceeded my expectations. Will buy again.,WEST
FB-01558,CUST-1321,2023-10-01,3,Average experience. Nothing stood out positively or negatively.,WEST
FB-01562,CUST-2122,2023-10-01,2,Product quality is below expectations. Disappointed.,WEST
FB-01600,CUST-2937,2023-10-01,4,Great experience from order to delivery. Highly recommend.,WEST
FB-01706,CUST-2591,2023-10-01,4,Product quality exceeded my expectations. Will buy again.,CENTRAL
FB-00382,CUST-2595,2023-10-02,2,Long delivery time and no tracking updates. Unacceptable.,NORTH
FB-00508,CUST-1085,2023-10-02,3,Delivery was slightly delayed but product is fine.,SOUTH
FB-00545,CUST-1689,2023-10-02,3,Customer service was adequate. Issue resolved eventually.,SOUTH
FB-00706,CUST-2714,2023-10-02,3,Good product but the ordering process was confusing.,SOUTH
FB-00896,CUST-1927,2023-10-02,2,Long delivery time and no tracking updates. Unacceptable.,EAST
FB-00947,CUST-1268,2023-10-02,3,Average experience. Nothing stood out positively or negatively.,EAST
FB-01094,CUST-2468,2023-10-02,4,Delivery was on time and product works perfectly.,EAST
FB-01264,CUST-1395,2023-10-02,4,Quick shipping and well-packaged. Exactly as described.,WEST
FB-01270,CUST-2802,2023-10-02,5,Excellent service and fast delivery. Very happy with my purchase.,WEST
FB-01293,CUST-1689,2023-10-02,3,Acceptable quality for the price. Delivery was average.,WEST
FB-01408,CUST-2446,2023-10-02,3,Delivery was slightly delayed but product is fine.,WEST
FB-01423,CUST-1856,2023-10-02,4,Amazing value for money. Would definitely recommend to a friend.,WEST
FB-01751,CUST-2020,2023-10-02,4,Great experience from order to delivery. Highly recommend.,CENTRAL
FB-00135,CUST-1665,2023-10-03,3,Customer service was adequate. Issue resolved eventually.,NORTH
FB-00243,CUST-2057,2023-10-03,3,Product is okay. Delivery took a bit longer than expected.,NORTH
FB-00458,CUST-1249,2023-10-03,4,Excellent service and fast delivery. Very happy with my purchase.,SOUTH
FB-00599,CUST-1780,2023-10-03,1,The delivery was extremely slow and the product arrived damaged. I am reconsidering my options.,SOUTH
FB-00675,CUST-2370,2023-10-03,4,Love the product quality. The team was very professional.,SOUTH
FB-00816,CUST-1250,2023-10-03,4,Quick shipping and well-packaged. Exactly as described.,EAST
